,bodyType,color,fuelType,modelDate,name,numberOfDoors,productionDate,vehicleConfiguration,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,ПТС,desr_topic_0,desr_topic_1,desr_topic_2,desr_topic_4,Grp_ID,dist_2_diller_txt,ft_,km_per_year,km_per_year_power,description_l,description_l1,Комплектация_1,enginePower2user,enginePower2liter,name_1,Омыватель фар,Кожа (Материал салона),Парктроник задний,Тонированные стекла,Навигационная система,Электроскладывание зеркал,Тёмный салон,Электропривод крышки багажника,Спортивные передние сиденья,Светодиодные фары,Металлик,Система управления дальним светом,Люк,Камера задняя,"Система помощи при торможении (BAS, EBD)",Диски 18,Диски 19,Голосовое управление,Премиальная аудиосистема,Доводчик дверей,Панорамная крыша / лобовое стекло,Диски 20,CarPlay,Солнцезащитные шторки в задних дверях,Камера 360°,Пневмоподвеска,Беспроводная зарядка для смартфона,Дистанционный запуск двигателя,Система предотвращения столкновения,Система контроля слепых зон,Алькантара (Материал салона),Третий ряд сидений
24,седан,серый,дизель,5,730Ld xDrive 3.0d AT (265 л.с.) 4WD,4,4,SEDAN AUTOMATIC 3.0,автоматическая,3.0,265,65000,полный,Оригинал,0.02,0.01,0.01,0.94,0,0.31678199768066406,7,13000.0,207.58333333333334,178,28,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,88,85.48387096774194,730Ld,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0
25,other,серебристый,дизель,13,35d 3.0d AT (286 л.с.) 4WD,5,11,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,286,165000,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.10576347261667252,7,13750.0,128.7,744,104,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,95,92.25806451612902,35d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,other,синий,дизель,13,30d 3.0d AT (245 л.с.) 4WD,5,9,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,245,178000,полный,Оригинал,0.0,0.0,0.0,0.98,0,0.013090387918055058,7,17800.0,99.63333333333333,494,58,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,82,79.03225806451613,30d,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,other,other,бензин,10,20i xDrive 2.0 AT (184 л.с.) 4WD,5,6,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,184,81398,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.534768283367157,1,11628.285714285714,134.0758933333333,1161,156,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,20i,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,седан,синий,дизель,11,530d xDrive 3.0d AT (258 л.с.) 4WD,4,9,SEDAN AUTOMATIC 3.0,автоматическая,3.0,258,150175,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.5167174935340881,8,15017.5,128.84949999999998,667,82,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,86,83.2258064516129,530d,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,other,белый,дизель,6,20d 2.0d AT (190 л.с.) 4WD,5,2,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,190,1000,полный,Оригинал,0.0,0.0,0.0,0.97,0,0.23757974803447723,0,333.3333333333333,189.36666666666667,294,40,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,63,90.47619047619047,20d,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,седан,чёрный,бензин,11,528i xDrive 2.0 AT (245 л.с.) 4WD,4,7,SEDAN AUTOMATIC 2.0,автоматическая,2.0,245,47000,полный,Оригинал,0.02,0.01,0.0,0.95,0,0.32575082778930664,0,5875.0,206.61666666666665,180,23,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,82,116.66666666666666,528i,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,other,синий,бензин,10,35i 3.0 AT (306 л.с.) 4WD,5,9,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,306,142500,полный,Оригинал,0.0,0.08,0.0,0.91,0,0.14837266504764557,8,14250.0,160.65,2085,335,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,102,98.70967741935483,35i,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32,other,other,дизель,3,xDrive20d 2.0d AT (190 л.с.) 4WD,5,1,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,190,5234,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.9233943223953247,2,2617.0,186.68513333333334,1372,205,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,63,90.47619047619047,xDrive20d,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,седан,серый,бензин,4,540i xDrive 3.0 AT (340 л.с.) 4WD,4,2,SEDAN AUTOMATIC 3.0,автоматическая,3.0,340,32500,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.12411651760339737,8,10833.333333333334,303.16666666666663,1093,167,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,113,109.6774193548387,540i,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
34,седан,белый,дизель,4,520d xDrive 2.0d AT (190 л.с.) 4WD,4,1,SEDAN AUTOMATIC 2.0,автоматическая,2.0,190,3300,полный,Оригинал,0.0,0.23,0.0,0.76,3,0.5532474517822266,3,1650.0,187.91,2045,272,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,63,90.47619047619047,520d,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,other,синий,бензин,14,48i 4.8 AT (355 л.с.) 4WD,5,13,ALLROAD_5_DOORS AUTOMATIC 4.8,автоматическая,4.8,355,230528,полный,Оригинал,0.0,0.0,0.0,0.98,0,0.030763404443860054,0,16466.285714285714,82.20853333333332,390,57,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,118,72.44897959183675,48i,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,other,other,бензин,13,135i 3.0 AT (306 л.с.),2,12,COUPE AUTOMATIC 3.0,автоматическая,3.0,306,200000,задний,Дубликат,0.0,0.0,0.0,0.99,0,0.01308433711528778,0,15384.615384615385,102.00000000000001,548,88,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,102,98.70967741935483,135i,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,other,чёрный,дизель,6,30d 3.0d AT (249 л.с.) 4WD,5,5,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,249,85746,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.21185152232646942,1,14291.0,177.83082000000002,775,108,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,83,80.32258064516128,30d,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,седан,серый,бензин,7,520i 2.0 AT (184 л.с.),4,7,SEDAN AUTOMATIC 2.0,автоматическая,2.0,184,300000,задний,Оригинал,0.0,0.0,0.0,0.99,0,0.4841005504131317,8,37500.0,0.0,667,82,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,520i,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,other,чёрный,бензин,18,2.2 AT (170 л.с.),2,15,ROADSTER AUTOMATIC 2.2,автоматическая,2.2,170,160000,задний,Оригинал,0.0,0.0,0.0,0.99,0,0.0852823406457901,8,10000.0,79.33333333333333,1757,273,,57,73.91304347826086,2.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,седан,чёрный,дизель,4,520d xDrive 2.0d AT (190 л.с.) 4WD,4,1,SEDAN AUTOMATIC 2.0,автоматическая,2.0,190,49000,полный,Оригинал,0.0,0.0,0.0,0.98,0,0.3165280520915985,7,24500.0,158.96666666666667,466,62,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,63,90.47619047619047,520d,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,other,чёрный,бензин,15,335xi 3.0 AT (306 л.с.) 4WD,2,12,COUPE AUTOMATIC 3.0,автоматическая,3.0,306,150000,полный,Оригинал,0.0,0.23,0.0,0.77,3,0.1969931721687317,7,11538.461538461539,153.0,2025,263,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,102,98.70967741935483,335xi,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,седан,чёрный,бензин,19,745i 4.4 AT (333 л.с.),4,17,SEDAN AUTOMATIC 4.4,автоматическая,4.4,333,200000,задний,Дубликат,0.04,0.03,0.26,0.64,2,0.23476466536521912,0,11111.111111111111,111.00000000000001,52,9,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,111,74.0,745i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,other,other,дизель,10,30d xDrive 3.0d AT (249 л.с.) 4WD,5,6,ALLROAD_5_DOORS AUTOMATIC 3.0,автоматическая,3.0,249,122172,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.19048450887203217,1,17453.14285714286,147.59724,1090,124,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,83,80.32258064516128,30d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,other,белый,дизель,12,320d 2.0d AT (184 л.с.),2,7,COUPE AUTOMATIC 2.0,автоматическая,2.0,184,96800,задний,Оригинал,0.02,0.16,0.08,0.75,3,0.07174547016620636,8,12100.0,124.62933333333334,3750,587,||Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,320d,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,седан,чёрный,бензин,18,530xi 3.0 AT (258 л.с.) 4WD,4,15,SEDAN AUTOMATIC 3.0,автоматическая,3.0,258,130000,полный,Оригинал,0.02,0.02,0.01,0.92,0,0.32067403197288513,7,8125.0,146.2,117,14,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,86,83.2258064516129,530xi,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,other,синий,бензин,3,20i xDrive 2.0 AT (184 л.с.) 4WD,5,2,ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,2.0,184,17000,полный,Оригинал,0.0,0.0,0.0,0.97,0,0.27616575360298157,7,5666.666666666667,173.57333333333332,299,47,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,20i,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,седан,серебристый,бензин,18,530i 3.0 AT (258 л.с.),4,14,SEDAN AUTOMATIC 3.0,автоматическая,3.0,258,158000,задний,Дубликат,0.0,0.0,0.0,1.0,0,0.41368648409843445,1,10533.333333333334,122.12000000000002,1593,206,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,86,83.2258064516129,530i,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,седан,other,бензин,11,528i 3.0 AT (258 л.с.),4,10,SEDAN AUTOMATIC 3.0,автоматическая,3.0,258,174830,задний,Оригинал,0.0,0.0,0.0,0.99,0,0.09024988859891891,7,15893.636363636364,107.64620000000001,888,122,|Элементы экстерьера|Комфорт|Салон|Безопасность|Прочее|Обзор|Мультимедиа|Защита от угона|,86,83.2258064516129,528i,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
49,седан,чёрный,дизель,9,320d xDrive 2.0d AT (184 л.с.) 4WD,4,6,SEDAN AUTOMATIC 2.0,автоматическая,2.0,184,98700,полный,Оригинал,0.0,0.0,0.0,0.99,0,0.1374535858631134,8,14100.0,123.46400000000001,737,115,|Элементы экстерьера|Комфорт|Салон|Безопасность||Обзор|Мультимедиа|Защита от угона|,61,87.61904761904762,320d,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
