,0
605,1290000
606,580000
607,1060000
608,845000
609,980000
610,2280000
611,980000
612,490000
613,2570000
614,1640000
615,3820000
616,900000
617,2180000
618,800000
619,1225000
620,650000
621,980000
622,1070000
623,1155000
624,420000
625,330000
626,150000
627,390000
628,670000
629,1085000
630,1250000
631,3425000
632,1200000
633,2580000
634,670000
635,890000
636,75000
637,640000
638,2405000
639,2045000
640,935000
641,400000
642,1560000
643,195000
644,1795000
645,310000
646,1960000
647,525000
648,825000
649,685000
650,710000
651,375000
652,2065000
653,910000
654,1645000
655,520000
656,220000
657,845000
658,555000
659,410000
660,215000
661,405000
662,390000
663,4450000
664,230000
665,1345000
666,1200000
667,970000
668,310000
669,100000
670,105000
671,625000
672,445000
673,1290000
674,1290000
675,980000
676,705000
677,275000
678,585000
679,445000
680,515000
681,620000
682,720000
683,640000
684,160000
685,400000
686,4565000
687,980000
688,560000
689,850000
690,650000
691,880000
692,710000
693,9210000
694,2845000
695,650000
696,2890000
697,1310000
698,1025000
699,1820000
700,1335000
701,810000
702,220000
703,755000
704,465000
705,1360000
706,1055000
707,1825000
708,445000
709,1690000
710,755000
711,1070000
712,1005000
713,1600000
714,3205000
715,1070000
716,125000
717,500000
718,640000
719,125000
720,475000
721,1200000
722,550000
723,135000
724,2135000
725,3025000
726,445000
727,870000
728,445000
729,1295000
730,220000
731,785000
732,800000
733,980000
734,220000
735,890000
736,1110000
737,650000
738,1150000
739,1425000
740,755000
741,1505000
742,935000
743,710000
744,560000
745,845000
746,620000
747,775000
748,605000
749,935000
750,420000
751,1245000
752,670000
753,2580000
754,890000
755,470000
756,595000
757,1025000
758,1780000
759,150000
760,970000
761,375000
762,275000
763,935000
764,425000
765,210000
766,2535000
767,1870000
768,980000
769,585000
770,460000
771,670000
772,355000
773,1150000
774,1565000
775,2560000
776,425000
777,490000
778,1070000
779,2225000
780,1815000
781,580000
782,1245000
783,1475000
784,1335000
785,445000
786,1960000
787,690000
788,150000
789,515000
790,3375000
791,580000
792,755000
793,1200000
794,535000
795,980000
796,730000
797,620000
798,1440000
799,890000
800,4095000
801,1280000
802,195000
803,1025000
804,405000
805,1005000
806,265000
807,495000
808,2340000
809,935000
810,85000
811,610000
812,115000
813,215000
814,710000
815,1025000
816,2805000
817,560000
818,1200000
819,480000
820,890000
821,580000
822,2000000
823,595000
824,755000
825,820000
826,420000
827,1060000
828,1300000
829,390000
830,400000
831,2315000
832,3915000
833,1770000
834,890000
835,995000
836,1070000
837,800000
838,935000
839,220000
840,370000
841,345000
842,400000
843,510000
844,845000
845,650000
846,135000
847,2315000
848,3160000
849,855000
850,2125000
851,1155000
852,525000
853,1505000
854,125000
855,580000
856,1220000
857,1070000
858,685000
859,130000
860,670000
861,1110000
862,3115000
863,560000
864,355000
865,1025000
866,1770000
867,1560000
868,1060000
869,535000
870,465000
871,450000
872,85000
873,660000
874,980000
875,800000
876,785000
877,1110000
878,465000
879,3560000
880,960000
881,490000
882,1175000
883,140000
884,425000
885,3160000
886,980000
887,790000
888,555000
889,295000
890,1515000
891,800000
892,3560000
893,310000
894,1025000
895,625000
896,3935000
897,800000
898,880000
899,300000
900,180000
901,550000
902,1735000
903,520000
904,140000
905,1425000
906,840000
907,705000
908,2180000
909,195000
910,1270000
911,2570000
912,625000
913,490000
914,275000
915,2935000
916,1565000
917,105000
918,465000
919,890000
920,1155000
921,1245000
922,2825000
923,3460000
924,150000
925,1155000
926,1720000
927,2490000
928,1200000
929,710000
930,2045000
931,980000
932,385000
933,675000
934,1620000
935,465000
936,775000
937,1470000
938,505000
939,125000
940,1110000
941,3660000
942,1870000
943,580000
944,265000
945,845000
946,1915000
947,560000
948,890000
949,465000
950,1065000
951,2525000
952,460000
953,235000
954,1870000
955,2490000
956,560000
957,310000
958,580000
959,670000
960,400000
961,670000
962,445000
963,1335000
964,1045000
965,605000
966,890000
967,980000
968,935000
969,685000
970,355000
971,1710000
972,575000
973,1200000
974,2685000
975,265000
976,2710000
977,890000
978,405000
979,1245000
980,320000
981,1870000
982,410000
983,2625000
984,1575000
985,2180000
986,1050000
987,1515000
988,195000
989,1150000
990,595000
991,580000
992,470000
993,800000
994,845000
995,2490000
996,250000
997,1960000
998,670000
999,2845000
1000,650000
1001,100000
1002,1330000
1003,425000
1004,445000
1005,1280000
1006,420000
1007,1050000
1008,545000
1009,890000
1010,625000
1011,1175000
1012,980000
1013,465000
1014,1070000
1015,515000
1016,595000
1017,670000
1018,560000
1019,1235000
1020,1415000
1021,780000
1022,3380000
1023,995000
1024,585000
1025,2400000
1026,1200000
1027,410000
1028,505000
1029,695000
1030,550000
1031,2565000
1032,1025000
1033,935000
1034,2965000
1035,605000
1036,375000
1037,1690000
1038,3890000
1039,135000
1040,205000
1041,1245000
1042,515000
1043,1960000
1044,870000
1045,845000
1046,845000
1047,445000
1048,535000
1049,70000
1050,535000
1051,595000
1052,1780000
1053,220000
1054,1200000
1055,1370000
1056,1050000
1057,3070000
1058,5785000
1059,515000
1060,400000
1061,830000
1062,335000
1063,505000
1064,425000
1065,835000
1066,750000
1067,1470000
1068,1140000
1069,425000
1070,740000
1071,935000
1072,220000
1073,715000
1074,1325000
1075,1290000
1076,845000
1077,1560000
1078,540000
1079,460000
1080,670000
1081,385000
1082,485000
1083,900000
1084,580000
1085,2600000
1086,765000
1087,625000
1088,235000
1089,755000
1090,845000
1091,1105000
1092,1645000
1093,670000
1094,1360000
1095,880000
1096,2445000
1097,740000
1098,330000
1099,2000000
1100,250000
1101,130000
1102,1560000
1103,1745000
1104,1415000
1105,670000
1106,1495000
1107,400000
1108,2270000
1109,525000
1110,830000
1111,1200000
1112,1040000
1113,710000
1114,320000
1115,9080000
1116,595000
1117,2430000
1118,1335000
1119,265000
1120,455000
1121,2480000
1122,670000
1123,800000
1124,630000
1125,4850000
1126,845000
1127,1110000
1128,2715000
1129,755000
1130,890000
1131,1070000
1132,1860000
1133,410000
1134,445000
1135,1405000
1136,3650000
1137,695000
1138,205000
1139,800000
1140,550000
1141,845000
1142,890000
1143,1160000
1144,2135000
1145,705000
1146,355000
1147,595000
1148,510000
1149,725000
1150,1240000
1151,465000
1152,1270000
1153,2045000
1154,935000
1155,2180000
1156,3205000
1157,220000
1158,695000
1159,3425000
1160,2090000
1161,400000
1162,620000
1163,730000
1164,1595000
1165,1600000
1166,105000
1167,535000
1168,1050000
1169,1025000
1170,285000
1171,2400000
1172,1425000
1173,1335000
1174,445000
1175,445000
1176,1025000
1177,490000
1178,670000
1179,625000
1180,1110000
1181,1130000
1182,790000
1183,935000
1184,960000
1185,1645000
1186,550000
1187,2570000
1188,1335000
1189,2615000
1190,3115000
1191,1470000
1192,550000
1193,105000
1194,3250000
1195,485000
1196,1110000
1197,525000
1198,980000
1199,745000
1200,1870000
1201,135000
1202,1335000
1203,615000
1204,980000
1205,1025000
1206,3025000
1207,1645000
1208,1110000
1209,3380000
1210,1155000
1211,625000
1212,90000
1213,2225000
1214,365000
1215,245000
1216,3650000
1217,615000
1218,935000
1219,980000
1220,2250000
1221,1110000
1222,1065000
1223,490000
1224,390000
1225,980000
1226,490000
1227,1245000
1228,2890000
1229,2135000
1230,390000
1231,2135000
1232,755000
1233,930000
1234,1775000
1235,2165000
1236,400000
1237,605000
1238,4315000
1239,945000
1240,630000
1241,1425000
1242,930000
1243,685000
1244,4450000
1245,410000
1246,320000
1247,575000
1248,465000
1249,3235000
1250,845000
1251,385000
1252,935000
1253,400000
1254,935000
1255,1775000
1256,800000
1257,475000
1258,1245000
1259,120000
1260,295000
1261,415000
1262,475000
1263,1380000
1264,1175000
1265,490000
1266,1070000
1267,1335000
1268,670000
1269,790000
1270,845000
1271,1040000
1272,120000
1273,2600000
1274,1645000
1275,2805000
1276,160000
1277,2440000
1278,170000
1279,550000
1280,230000
1281,935000
1282,285000
1283,415000
1284,1530000
1285,1045000
1286,375000
1287,870000
1288,2935000
1289,1690000
1290,1380000
1291,2285000
1292,400000
1293,595000
1294,615000
1295,180000
1296,765000
1297,1820000
1298,490000
1299,935000
1300,790000
1301,1070000
1302,1310000
1303,1470000
1304,800000
1305,1180000
1306,705000
1307,1155000
1308,3115000
1309,195000
1310,880000
1311,375000
1312,410000
1313,1425000
1314,265000
1315,1690000
1316,2490000
1317,310000
1318,1290000
1319,1140000
1320,780000
1321,1095000
1322,1415000
1323,1325000
1324,2135000
1325,1005000
1326,710000
1327,915000
1328,2090000
1329,1130000
1330,1040000
1331,3470000
1332,980000
1333,2135000
1334,2430000
1335,980000
1336,1645000
1337,625000
1338,1070000
1339,390000
1340,710000
1341,775000
1342,1310000
1343,580000
1344,650000
1345,180000
1346,3115000
1347,515000
1348,480000
1349,575000
1350,425000
1351,1110000
1352,3105000
1353,1025000
1354,1950000
1355,3380000
1356,870000
1357,2575000
1358,2850000
1359,1805000
1360,1275000
1361,3825000
1362,800000
1363,3870000
1364,535000
1365,1110000
1366,980000
1367,1070000
1368,755000
1369,2260000
1370,105000
1371,2670000
1372,480000
1373,1495000
1374,360000
1375,755000
1376,1025000
1377,1110000
1378,580000
1379,2605000
1380,610000
1381,670000
1382,940000
1383,3960000
1384,1215000
1385,2125000
1386,3295000
1387,450000
1388,1870000
1389,1335000
1390,1325000
1391,7385000
1392,755000
1393,425000
1394,230000
1395,310000
1396,6410000
1397,2125000
1398,2805000
1399,3160000
1400,875000
1401,445000
1402,480000
1403,265000
1404,1460000
1405,980000
1406,5785000
1407,110000
1408,3160000
1409,400000
1410,140000
1411,375000
1412,1780000
1413,245000
1414,490000
1415,490000
1416,1030000
1417,2150000
1418,235000
1419,285000
1420,1110000
1421,1150000
1422,625000
1423,1700000
1424,425000
1425,980000
1426,980000
1427,515000
1428,845000
1429,670000
1430,3560000
1431,425000
1432,210000
1433,490000
1434,580000
1435,355000
1436,1275000
1437,1200000
1438,595000
1439,145000
1440,295000
1441,525000
1442,1495000
1443,340000
1444,535000
1445,2090000
1446,245000
1447,560000
1448,935000
1449,1760000
1450,630000
1451,2090000
1452,1140000
1453,355000
1454,935000
1455,1245000
1456,455000
1457,1290000
1458,6095000
1459,340000
1460,250000
1461,425000
1462,445000
1463,3425000
1464,2890000
1465,2850000
1466,1155000
1467,1600000
1468,220000
1469,1290000
1470,670000
1471,2345000
1472,2245000
1473,620000
1474,1060000
1475,2045000
1476,240000
1477,365000
1478,1200000
1479,1025000
1480,535000
1481,115000
1482,625000
1483,670000
1484,470000
1485,1950000
1486,730000
1487,400000
1488,2625000
1489,710000
1490,1225000
1491,1930000
1492,1780000
1493,1280000
1494,375000
1495,265000
1496,3295000
1497,1720000
1498,445000
1499,820000
1500,765000
1501,435000
1502,2600000
1503,3095000
1504,3160000
1505,7995000
1506,135000
1507,740000
1508,800000
1509,560000
1510,1440000
1511,820000
1512,385000
1513,1290000
1514,675000
1515,470000
1516,265000
1517,295000
1518,845000
1519,830000
1520,580000
1521,2850000
1522,470000
1523,605000
1524,1065000
1525,3295000
1526,865000
1527,140000
1528,830000
1529,3735000
1530,1070000
1531,1645000
1532,1155000
1533,2600000
1534,525000
1535,1470000
1536,935000
1537,980000
1538,1185000
1539,445000
1540,755000
1541,845000
1542,755000
1543,1060000
1544,5250000
1545,4315000
1546,1110000
1547,420000
1548,705000
1549,345000
1550,1425000
1551,465000
1552,505000
1553,1470000
1554,180000
1555,2935000
1556,295000
1557,970000
1558,340000
1559,670000
1560,325000
1561,2405000
1562,1600000
1563,3070000
1564,2490000
1565,2225000
1566,140000
1567,710000
1568,980000
1569,2000000
1570,1735000
1571,250000
1572,235000
1573,1050000
1574,2760000
1575,3695000
1576,1780000
1577,1825000
1578,705000
1579,2490000
1580,420000
1581,1630000
1582,480000
1583,500000
1584,1245000
1585,820000
1586,890000
1587,1735000
1588,570000
1589,220000
1590,800000
1591,345000
1592,1335000
1593,2715000
1594,1140000
1595,625000
1596,910000
1597,2225000
1598,850000
1599,355000
1600,535000
1601,105000
1602,490000
1603,465000
1604,1335000
1605,3115000
1606,120000
1607,1290000
1608,180000
1609,775000
1610,490000
1611,3995000
1612,1230000
1613,1025000
1614,685000
1615,215000
1616,4015000
1617,730000
1618,775000
1619,205000
1620,1515000
1621,1690000
1622,1315000
1623,1560000
1624,1335000
1625,1735000
1626,2980000
1627,455000
1628,4175000
1629,515000
1630,615000
1631,1265000
1632,640000
1633,755000
1634,490000
1635,2490000
1636,1720000
1637,1230000
1638,440000
1639,1245000
1640,4710000
1641,1025000
1642,115000
1643,1415000
1644,1245000
1645,495000
1646,1395000
1647,1230000
1648,495000
1649,535000
1650,1140000
1651,670000
1652,1415000
1653,225000
1654,1440000
1655,1600000
1656,2045000
1657,800000
1658,755000
1659,1200000
1660,2930000
1661,730000
1662,1225000
1663,2670000
1664,950000
1665,2490000
1666,640000
1667,4095000
1668,350000
1669,1915000
1670,490000
1671,490000
1672,1025000
1673,2000000
1674,135000
1675,1155000
1676,560000
1677,1915000
1678,6630000
1679,670000
1680,1680000
1681,600000
1682,180000
1683,125000
1684,3560000
1685,265000
1686,845000
1687,1200000
1688,2405000
1689,535000
1690,980000
1691,3470000
1692,1560000
1693,1915000
1694,5250000
1695,690000
1696,1780000
1697,860000
1698,1290000
1699,350000
1700,445000
1701,3205000
1702,1495000
1703,1495000
1704,3560000
1705,400000
1706,1360000
1707,2805000
1708,800000
1709,2760000
1710,580000
1711,465000
1712,1495000
1713,785000
1714,455000
1715,230000
1716,445000
1717,1460000
1718,495000
1719,535000
1720,1110000
1721,935000
1722,890000
1723,490000
1724,2575000
1725,3200000
1726,545000
1727,1110000
1728,465000
1729,550000
1730,1985000
1731,1415000
1732,140000
1733,265000
1734,550000
1735,1290000
1736,370000
1737,115000
1738,1470000
1739,1280000
1740,755000
1741,230000
1742,265000
1743,915000
1744,1245000
1745,1425000
1746,1680000
1747,225000
1748,715000
1749,1105000
1750,935000
1751,1040000
1752,400000
1753,1110000
1754,2850000
1755,515000
1756,350000
1757,250000
1758,2715000
1759,1425000
1760,3295000
1761,450000
1762,320000
1763,870000
1764,750000
1765,340000
1766,535000
1767,1235000
1768,710000
1769,420000
1770,1195000
1771,1290000
1772,490000
1773,330000
1774,1680000
1775,1780000
1776,670000
1777,740000
1778,755000
1779,1110000
1780,375000
1781,980000
1782,1555000
1783,310000
1784,1025000
1785,580000
1786,550000
1787,730000
1788,400000
1789,750000
1790,885000
1791,3250000
1792,1070000
1793,3410000
1794,2980000
1795,1470000
1796,670000
1797,170000
1798,535000
1799,1110000
1800,740000
1801,1025000
1802,755000
1803,700000
1804,1290000
1805,2090000
1806,1380000
1807,670000
1808,2360000
1809,1175000
1810,90000
1811,935000
1812,1200000
1813,2090000
1814,4230000
1815,1155000
1816,695000
1817,1425000
1818,1335000
1819,2805000
1820,960000
1821,710000
1822,3115000
1823,1515000
1824,470000
1825,1275000
1826,275000
1827,355000
1828,1335000
1829,580000
1830,2225000
1831,385000
1832,980000
1833,70000
1834,2370000
1835,1185000
1836,700000
1837,1155000
1838,1025000
1839,1290000
1840,890000
1841,1355000
1842,935000
1843,980000
1844,980000
1845,2890000
1846,1885000
1847,195000
1848,1155000
1849,880000
1850,425000
1851,90000
1852,460000
1853,845000
1854,1825000
1855,1335000
1856,1710000
1857,1315000
1858,980000
1859,440000
1860,595000
1861,595000
1862,1085000
1863,285000
1864,655000
1865,1515000
1866,3380000
1867,200000
1868,1110000
1869,2090000
1870,1450000
1871,220000
1872,1610000
1873,4270000
1874,1440000
1875,515000
1876,360000
1877,2935000
1878,1600000
1879,3375000
1880,1020000
1881,250000
1882,800000
1883,295000
1884,830000
1885,355000
1886,240000
1887,385000
1888,1385000
1889,1070000
1890,1825000
1891,1840000
1892,740000
1893,1335000
1894,1245000
1895,1025000
1896,6765000
1897,610000
1898,890000
1899,820000
1900,435000
1901,1245000
1902,640000
1903,535000
1904,455000
1905,835000
1906,1150000
1907,2625000
1908,1030000
1909,355000
1910,3890000
1911,3015000
1912,195000
1913,355000
1914,755000
1915,890000
1916,630000
1917,2045000
1918,385000
1919,1110000
1920,855000
1921,1325000
1922,1415000
1923,750000
1924,845000
1925,255000
1926,790000
1927,670000
1928,400000
1929,1380000
1930,335000
1931,125000
1932,1795000
1933,625000
1934,845000
1935,700000
1936,1485000
1937,345000
1938,1600000
1939,3205000
1940,180000
1941,1600000
1942,960000
1943,845000
1944,455000
1945,580000
1946,355000
1947,2045000
1948,2065000
1949,915000
1950,1120000
1951,580000
1952,3115000
1953,755000
1954,595000
1955,3295000
1956,485000
1957,230000
1958,1230000
1959,955000
1960,1735000
1961,825000
1962,1780000
1963,345000
1964,3425000
1965,415000
1966,935000
1967,385000
1968,440000
1969,2045000
1970,630000
1971,690000
1972,425000
1973,625000
1974,310000
1975,2890000
1976,1380000
1977,1515000
1978,1600000
1979,275000
1980,1110000
1981,625000
1982,1025000
1983,1130000
1984,2135000
1985,1780000
1986,650000
1987,950000
1988,260000
1989,1130000
1990,410000
1991,1335000
1992,1770000
1993,2625000
1994,1200000
1995,3205000
1996,220000
1997,625000
1998,980000
1999,1155000
2000,935000
2001,420000
2002,1160000
2003,650000
2004,640000
2005,2965000
2006,980000
2007,1495000
2008,535000
2009,710000
2010,710000
2011,780000
2012,140000
2013,3115000
2014,1770000
2015,1200000
2016,730000
2017,910000
2018,845000
2019,1070000
2020,3425000
2021,615000
2022,245000
2023,480000
2024,695000
2025,640000
2026,400000
2027,1155000
2028,855000
2029,650000
2030,2135000
2031,790000
2032,890000
2033,5475000
2034,1645000
2035,220000
2036,800000
2037,800000
2038,740000
2039,845000
2040,205000
2041,980000
2042,845000
2043,1470000
2044,625000
2045,2535000
2046,1335000
2047,3205000
2048,435000
2049,1270000
2050,870000
2051,1070000
2052,1285000
2053,205000
2054,295000
2055,490000
2056,560000
2057,1335000
2058,425000
2059,1325000
2060,845000
2061,935000
2062,250000
2063,2490000
2064,755000
2065,1600000
2066,1025000
2067,5500000
2068,3560000
2069,620000
2070,3105000
2071,3470000
2072,980000
2073,335000
2074,150000
2075,2935000
2076,1125000
2077,1175000
2078,2450000
2079,980000
2080,505000
2081,3115000
2082,650000
2083,295000
2084,425000
2085,1200000
2086,1600000
2087,595000
2088,535000
2089,1245000
2090,1640000
2091,2440000
2092,790000
2093,1600000
2094,400000
2095,1965000
2096,1085000
2097,470000
2098,530000
2099,1170000
2100,845000
2101,1150000
2102,900000
2103,485000
2104,1155000
2105,690000
2106,445000
2107,420000
2108,800000
2109,1110000
2110,830000
2111,1380000
2112,780000
2113,1120000
2114,980000
2115,580000
2116,2270000
2117,580000
2118,305000
2119,730000
2120,355000
2121,7965000
2122,1505000
2123,845000
2124,445000
2125,515000
2126,675000
2127,355000
2128,2465000
2129,980000
2130,625000
2131,330000
2132,385000
2133,1425000
2134,1485000
2135,485000
2136,845000
2137,1110000
2138,1110000
2139,1245000
2140,1245000
2141,2850000
2142,420000
2143,160000
2144,625000
2145,800000
2146,305000
2147,1075000
2148,4780000
2149,730000
2150,5250000
2151,1380000
2152,1040000
2153,580000
2154,770000
2155,3170000
2156,1155000
2157,515000
2158,445000
2159,500000
2160,785000
2161,1600000
2162,3205000
2163,490000
2164,2375000
2165,1470000
2166,1015000
2167,970000
2168,845000
2169,1040000
2170,125000
2171,960000
2172,1100000
2173,425000
2174,625000
2175,640000
2176,6320000
2177,2625000
2178,935000
2179,690000
2180,3295000
2181,790000
2182,1030000
2183,635000
2184,980000
2185,5785000
2186,330000
2187,755000
2188,2670000
2189,295000
2190,375000
2191,1960000
2192,780000
2193,800000
2194,1185000
2195,220000
2196,2315000
2197,820000
2198,470000
2199,2000000
2200,680000
2201,1330000
2202,535000
2203,400000
2204,640000
2205,105000
2206,6540000
2207,705000
2208,445000
2209,550000
2210,505000
2211,305000
2212,1055000
2213,1290000
2214,1560000
2215,670000
2216,755000
2217,830000
2218,595000
2219,280000
2220,400000
2221,1405000
2222,265000
2223,1120000
2224,435000
2225,1140000
2226,180000
2227,740000
2228,630000
2229,400000
2230,350000
2231,2360000
2232,1505000
2233,425000
2234,570000
2235,205000
2236,465000
2237,1095000
2238,1185000
2239,1290000
2240,265000
2241,1380000
2242,490000
2243,1380000
2244,1110000
2245,310000
2246,280000
2247,935000
2248,530000
2249,1185000
2250,2090000
2251,950000
2252,465000
2253,580000
2254,730000
2255,435000
2256,1155000
2257,535000
2258,960000
2259,1265000
2260,3735000
2261,695000
2262,845000
2263,175000
2264,400000
2265,375000
2266,3160000
2267,1460000
2268,980000
2269,1025000
2270,1335000
2271,625000
2272,1330000
2273,855000
2274,790000
2275,585000
2276,980000
2277,660000
2278,625000
2279,1025000
2280,150000
2281,1780000
2282,535000
2283,1260000
2284,625000
2285,1770000
2286,2045000
2287,755000
2288,845000
2289,1025000
2290,980000
2291,790000
2292,1245000
2293,445000
2294,970000
2295,720000
2296,535000
2297,935000
2298,2660000
2299,1290000
2300,890000
2301,230000
2302,455000
2303,275000
2304,595000
2305,6010000
2306,110000
2307,500000
2308,435000
2309,1105000
2310,1185000
2311,1005000
2312,1115000
2313,1070000
2314,725000
2315,130000
2316,1470000
2317,2935000
2318,790000
2319,1155000
2320,285000
2321,1630000
2322,975000
2323,3740000
2324,470000
2325,890000
2326,450000
2327,1335000
2328,1070000
2329,880000
2330,455000
